Timestamp (UTC),Relay State,T2 (F),T1 (F)
2026-08-07T23:15:00Z,1,100.21256,107.585
2026-08-07T23:30:00Z,1,103.5579714,111.2964286
2026-08-07T23:45:00Z,1,106.27256,111.1472
2026-08-08T00:00:00Z,1,106.76756,111.71792
2026-08-08T00:15:00Z,1,107.23976,113.21012
2026-08-08T00:30:00Z,1,107.5593714,113.7234714
2026-08-08T00:45:00Z,1,107.32208,114.63476
2026-08-08T01:00:00Z,1,107.10524,114.79256
2026-08-08T01:15:00Z,1,107.5916429,116.3026143
2026-08-08T01:30:00Z,1,108.12512,117.08744
2026-08-08T01:45:00Z,1,109.74512,118.175
2026-08-08T02:00:00Z,1,110.6612857,119.4044
2026-08-08T02:15:00Z,1,110.33012,118.90292
2026-08-08T02:30:00Z,1,109.31,118.38548
2026-08-08T02:45:00Z,1,109.5284429,119.1075286
2026-08-08T03:00:00Z,1,109.50512,119.0228
2026-08-08T03:15:00Z,1,108.59732,118.40768
2026-08-08T03:30:00Z,1,108.0020429,117.4274857
2026-08-08T03:45:00Z,1,107.37488,116.19524
2026-08-08T04:00:00Z,1,106.93256,116.27708
2026-08-08T04:15:00Z,1,106.6843143,116.5757
2026-08-08T04:30:00Z,1,106.6472,116.61512
2026-08-08T04:45:00Z,1,107.26988,117.10232
2026-08-08T05:00:00Z,1,107.2058,116.9537
2026-08-08T05:15:00Z,1,107.1278,117.52208
2026-08-08T05:30:00Z,1,107.39732,117.02744
2026-08-08T05:45:00Z,1,107.7607143,117.7490429
2026-08-08T06:00:00Z,1,108.28268,117.98756
2026-08-08T06:15:00Z,1,108.26024,118.51244
2026-08-08T06:30:00Z,1,108.4035714,118.5685571
2026-08-08T06:45:00Z,1,109.39232,119.29256
2026-08-08T07:00:00Z,1,109.27244,119.6078
2026-08-08T07:15:00Z,1,108.8781286,119.2362286
2026-08-08T07:30:00Z,1,108.80048,119.01452
2026-08-08T07:45:00Z,1,108.17024,118.90208
2026-08-08T08:00:00Z,1,107.7766571,118.2311857
2026-08-08T08:15:00Z,1,108.58976,118.85012
2026-08-08T08:30:00Z,1,108.95,119.36756
2026-08-08T08:45:00Z,1,109.0456571,119.6861
2026-08-08T09:00:00Z,1,108.92768,119.76488
